"","Title","Author","Content","Comments_No","Upvote_Percentage"
"597","Former Wanna One member Yoon Ji Sung to be discharged from military next month"," germainej","Former Wanna One member Yoon Ji Sung is set be discharged from the military next month.On November 20, LM Entertainment told fans Yoon Ji Sung is currently on his last vacation while serving his mandatory military service, and according to COVID-19 protocol, he won't be returning to the base until his discharge on December 13.The label stated, ""We sincerely thank the fans for waiting with love for a long time, and we hope you will warmly welcome Yoon Ji Sung, who will return safely after completing his military duty.""Yoon Ji Sung enlisted for his military service in May of last year after the disbandment of Wanna One. ","7","96%"
"598","TWICE's Jihyo shows off her bright smile and updates her fans through social media"," haydn-an","Recently, fans were relieved to see Jihyo smiling brightly as she showed off the gift she had received from Mina.



On November 25th, Jihyo uploaded a series of photos on TWICE's official Instagram account. She posted the photos with the caption ""Mina bought it for me~ are you jealous Once? Mina Jjang Arigatou."" In the photo, Jihyo is seen hugging a cute fluffy teddy bear smiling adorably at the camera.



A post shared by TWICE (@twicetagram)

Jihyo radiated a doll-like beauty with her large round eyes and porcelain skin. Fans were also relieved Jihyo was doing well after her recent breakup as they saw her smiling brightly at the camera.



They commented, ""you're so cute"", ""Her eyes are as big as the doll's"", and ""She's so lovely.""



Meanwhile, TWICE released their second full-length album 'Eyes Wide Open' on October 26th and finished their successful promotions.","10","79%"
"599","Cha Eun Woo, Moon Ga Young, & Hwang In Yeop talk about becoming their 'True Beauty' characters in 'Vogue'"," beansss","

The visual trio of tvN's upcoming new drama series 'True Beauty' have landed in the pages of 'Vogue' magazine!



In tvN's 'True Beauty', ASTRO's Cha Eun Woo, Moon Ga Young, and Hwang In Yeop work together as three high schoolers each struggling with their own inner problems. For this 'Vogue' pictorial, however, the three 'True Beauty' stars decided to put away their high school uniforms for a day to showcase their more mature sides. 



In the interview which followed, each of the three stars discussed their tasks of becoming their 'True Beauty' characters, including Moon Ga Young who will be transforming into the heroine, Lim Joo Kyung. Moon Ga Young, who hopes to deliver a message about self-confidence, overcoming societal beauty standards, and more, said, ""It is a very serious and touchy issue. I wanted to play Joo Kyung because I wanted to share this message with viewers. I am aware of the concerns that some viewers have raised about this drama. It can come across as offensive at first. Everyone has different standards. However, I think this drama accurately portrays the concerns of today's young people. This drama focusses on Joo Kyung's growth as she meets different people and undergoes inner transformation. I think that if people begin to think a little different about beauty and standards after watching this, then I'll know that I chose the right project.""



ASTRO's Cha Eun Woo, who will be taking on his second webtoon-based lead character in 'True Beauty', confessed in his interview, ""My members Sanha and Moonbin like reading webtoons. Even before there was word that 'True Beauty' was being made into a drama, they showed it to me and said, 'This looks just like you'. Some time after that, I received the call."" 



He then compared himself now to his debut role in the drama 'My ID is Gangnam Beauty'. ""I was lacking in so many ways back then, and everything was so chaotic. There were also various difficulties. To tell you the truth, I couldn't handle watching myself in the drama. I kept thinking, 'Why did I do that?' and 'Why was I like that?'. But I suppose that was the best I could do at the time. That was the 22-year old me, and now I'm 24-years old with a little more experience, so I believe I can do better,"" the idol/actor commented. 



Check out Cha Eun Woo, Moon Ga Young, and Hwang In Yeop in the latest issue of 'Vogue'!

","7","94%"
"600","Gong Yoo to appear on SBS's YouTube channel show 'MMTG'"," haydn-an","Actor Gong Yoo will appear on the new episode of SBS's YouTube channel show 'MMTG.'In the content that will be released on November 19 KST, 'MMTG' will interview Gong Yoo on his comeback with the movie 'Seo Bok' where the actor will promote his new movie that will soon premiere.

According to the production team of 'MMTG,' Jaejae will be interviewing with Gong Yoo with a special concept. According to reports, Gong Yoo was ecstatic when Jaejae analyzed his character from 'Seo Bok.'Gong Yoo and Jaejae's chemistry is expected to induce laughter in the viewers in the special interview-style show.Meanwhile, the 'MMTG' episode of Gong Yoo will be uploaded on November 19 at 5 PM KST on the MMTG official YouTube channel.","8","95%"
"601","Fans impressed with the creativity behind the logo for EXO Kai's first solo album"," haydn-an","Many EXO fans were excited to hear the news that member Kai will be releasing his first solo mini-album. 



On November 11 KST, SM Entertainment released the first set of teasers and the announcement of Kai's first solo album. After seeing the teaser, fans have become ecstatic and impressed with SM Entertainment's design team.



From EXO's debut, Kai's name was a stage name composed of the Chinese character '开' pronounced as 'Kai.'  The Chinese word Kai means open and he was the first member to be revealed when EXO first debuted.



Jongin's 1st Mini Album is named KAI (开) 😳😳😳 The logo though.. It's so smart !!! They replaced the letter A with 开 and it still looks like K开I 😳😳 *开 literal meaning means ""Open"" (In Jongin's name context, probably means to ""Open the doors"") #EXO #카이 @weareoneEXO pic.twitter.com/AD9QKd2GAw

Now, fans have noticed the same Chinese character on Kai's solo album logo. They have also noticed how the symbol is made up of four number 1s or two 11s. Many fans were also impressed that the teasers were released on 11/11, just as the symbols showed. Additionally, they replaced the ""A"" in Kai with the Chinese character, so K开I also means ""open the door,"" signaling the opening for Kai's solo.



아니 진짜 1 네개로 A 만들고 11월 11일에 티저를 냈네 나 에스엠 무서워 이제 pic.twitter.com/AD5TZMRkuu

Fans were so impressed they were sharing what they discovered on various online communities and social media. Many fans praised the SM design team for their creativity and left various compliments in an online community.

Netizens' Commented:

""SM is really good at making logos.""

""I'm impressed with this one.""""This is so cool. So awesome.""

""This is really impressive. They were so creative to create the 'A' like the Chinese character.""

"" Oh, now I understand his stage name.""

""That's awesome. SM is so detailed.""

""Hope Kai does well with his solo promotions.""

""I didn't know 'Kai' meant the Chinese 'Kai' for open.""

""That's really cool.""

""I think SM Entertainment definitely works hard when it comes to EXO projects. lol.""

""That's really creative. Cool and super awesome.""

","8","86%"
"602","Refund Sisters confirmed to perform at MBC's '2020 Gayo Daejejeon' + '2020 Entertainment Awards'"," beansss","

The Refund Sisters will be reuniting for spectacular stages at MBC's '2020 Gayo Daejejeon' and '2020 Entertainment Awards'!



On November 26, a representative of MBC confirmed, ""It's true that Refund Sisters will be appearing at the '2020 Entertainment Awards' and the '2020 Gayo Daejejeon'."" 



As many of you know, the Refund Sisters is a project group made up of Uhm Jung Hwa, Lee Hyori, Jessi, and MAMAMOO's Hwa Sa. The ladies swept various music charts with the release of their debut single, ""Don't Touch Me"". 



Meanwhile, the '2020 MBC Entertainment Awards' is set to take place this December 29. The grand year-end music festival, the '2020 Gayo Daejejeon', is scheduled for December 31. ","8","90%"
"603","JTBC confirms cast & crew of drama 'Snowdrop' have all tested negative for COVID19"," beansss","

On November 25, JTBC confirmed with various media outlets that the cast and crew members of the upcoming drama 'Snowdrop' have all tested negative for COVID19.



Previously, JTBC's 'Snowdrop' halted all filming schedules after being notified that a supporting actor from the filming set had crossed paths with a COVID19 positive carrier. Now, JTBC has confirmed that the supporting actor has tested negative as of November 25. In addition, all staff and crew members who also had close contact with this supporting actor have tested negative. 



JTBC stated, ""We have not confirmed any rescheduled filming dates, but we plan on resuming filming soon while keeping in line with COVID19 prevention guidelines."" 'Snowdrop', slated to air some time in 2021, stars Jung Hae In, BLACKPINK's Jisoo, Jang Seung Jo, Kim Hye Yoon, and more. 



Meanwhile, various other cast and crew members of dramas including JTBC's 'Hush', SBS's 'Penthouse', and more are also currently confirming negative test results to COVID19. ","8","87%"
"604","Rapper Giant Pink to tie the knot this weekend!"," germainej","Giant Pink will be tying the knot to her fiance this weekend!After delaying her wedding due to the COVID-19 pandemic, the 29-year-old rapper will be marrying her fiance, who's a non-celebrity in the restaurant business, on November 22 KST. Giant Pink also impressed fans with photos of her beautiful wedding dress, which reportedly costs more than 10 million Won ($8964.27 USD).Congratulations to Giant Pink and her fiance once again! ","8","92%"
"605","Cosmic Girls's Yeoreum & (G)I-DLE's Yuqi transform into lovely twin sisters in '1st Look'"," beansss","

Cosmic Girls's Yeoreum and (G)I-DLE's Yuqi have paired up for a gorgeous fall pictorial with '1st Look' magazine!



For this pictorial, Yeoreum and Yuqi surprised fans with their sisterly resemblance, roaming freely on a cool fall afternoon. According to Yeoreum and Yuqi, the two idols are very close friends who rely on each other for support. Yeoreum said, ""When I was struggling with a lot of different thoughts, Yuqi sincerely listened to what I had to say, empathized with me like it was all her own story, and gave me her honest advice, which really touched my heart."" Yuqi also shared, ""Since we are on the same career path, I want to continue to talk with Yeoreum about our thoughts and struggles, sharing the same experiences and growing together."" 



Check out some of Yeoreum and Yuqi's '1st Look' previews above and below!

","9","89%"
"606","IU turn lovely for her photoshoot with soju brand 'Chamisul'"," jennywill","IU and the soju brand 'Chamisul' went for a pretty unique marketing technique.



Instead of posing with any of the soju bottles, as is pretty standard for a soju ad, IU instead worked with the soju brand to portray 'loveliness'. Of course, as IU is the epitome of loveliness even without any styling, she pulled it off perfectly. The photoshoot features her in a flowy satin dress along with makeup that emphasizes blush.



Check out all the photos above and below.","14","65%"
"607","'Parasite's Song Kang Ho & 'The Handmaiden's Kim Min Hee listed as two of 'The 25 Greatest Actors of the 21st Century' by The New York Times"," beansss","

On November 25, The New York Times revealed its selection of 'The 25 Greatest Actors of the 21st Century (So Far)'. 



Two of the most respected Korean film stars also made the list - Song Kang Ho of 'Parasite' and Kim Min Hee of 'The Handmaiden'. The two top Korean actors were recognized for their stunning character portrayals along with film giants like Denzel Washington, Keanu Reeves, Nicole Kidman, Viola Davis, Tilda Swinton, and more. 



The New York Times drew attention to Song Kang Ho, ranked #6 on the list, as the male lead of the Oscar-winning best picture of 2020, 'Parasite'. The editorial then highlighted director Bong Joon Ho's interview about his discovery of Song Kang Ho, working with Song again and again for most of his hit productions, and his desire to continue working with Song for many years to come. 



Kim Min Hee, ranked #16, received attention as the muse of director Hong Sang Soo's minimal, artistic independent projects. The New York Times also gave a shoutout to Kim Min Hee's most-well known recent role in 'The Handmaiden', where she worked with director Park Chan Wook. 



Check out the full list by The New York Times, here. ","7","95%"
"608","TVXQ's Yunho donates 50,000 masks to social welfare facilities in his hometown of Gwangju"," germainej","TVXQ's Yunho has donated 50,000 masks to social welfare facilities in his hometown of Gwangju.On November 25, the Gwangju Social Welfare Council revealed the masks were donated to workers and vulnerable people in the local social welfare facilities. Yunho expressed, ""It's an honor to have a street commemorated to K-Pop stars from Gwangju. To repay this, I decided to donate the masks to my hometown of Gwangju, where COVID-19 is on the rise again.""The head of the city's tourism promotion division Lee Young Dong also stated, ""I really appreciate the active participation of stars for donations to the community.""Stay tuned for updates on Yunho.","7","98%"
"609","BoA joins performing lineup for the '2020 Mnet Asian Music Awards'"," beansss","

K-Pop legend BoA will be performing alongside the hottest artists at the '2020 Mnet Asian Music Awards'!

This year, the '2020 MAMA' takes place on December 6. The event will take place online and features a performing lineup including BTS, Taemin, GOT7, MONSTA X, MAMAMOO, Seventeen, Oh My Girl, The Boyz, Stray Kids, IZ*ONE, (G)I-DLE, ATEEZ, TOMORROW x TOGETHER, CRAVITY, TREASURE, ENHYPEN, and more!



It's gonna be another exciting year at the '2020 MAMA', so make sure to tune in live!","8","91%"
"610","WOODZ releases more concept teasers for his 2nd mini album + deletes previous image accused of cultural appropriation"," beansss","

WOODZ (Jo Seung Youn) has released his second set of 'Allergy' version concept teasers for his solo comeback!



In this group of concept photos, WOODZ continues to puzzle fans with a playful, eclectic, and slightly mysterious atmosphere to his images, overall taking on dark color tones. The artist also makes use of unique props ranging from a toy train set, to a dinosaur hat, a rabbit costume, etc. Meanwhile back on November 10, international fans came together to request that one photo released in WOODZ's earlier 'Love' version concept images be deleted, due to potential cultural appropriation. In the photo in question, WOODZ posed while wearing a specific hat, which fans believed was a recreation of a traditional headdress belonging to American Plains Natives. 



After fans reached out to WOODZ's creative team with concerns, the artist deleted the specific photo from his teaser images and stated, ""Per fans' concerns, we have come to the decision to delete the photo in question as it could potentially cause many fans concerns due to the cultural problems of the headdress. Using this incident as a learning point, we would like to also relay our promise to be careful in the future and better understand all cultures."" 



WOODZ's solo comeback with his 2nd mini album 'WOOPS!' is coming up on November 17 at 6 PM KST.

","8","92%"
"611","EXO's Kai dives deep in 'KAI (开)' teaser clip"," germainej","EXO's Kai has revealed a teaser clip for 'KAI (开)'.In the teaser clip, Kai dives deep down with his eyes closed. Kai will be the fifth EXO member to make a solo debut following Baekhyun, Chen, Suho, and Lay.Kai's first mini album 'KAI' drops on November 30 KST. Are you excited for his solo debut?





KAI 카이 The 1st Mini Album [KAI (开)]🎧 2020.11.30. 6PM KST👉 https://t.co/R6BXJYhX1i#카이 #KAI#엑소 #EXO #weareoneEXO#开 pic.twitter.com/8vkFXKQObm","9","85%"
"612","MAMAMOO's Hwa Sa causes laughter by confessing that Highlight's Yoseob is one of her favorite 'memes'"," beansss","

During a recent episode of Kakao TV's 'Mu:Talk Live', MAMAMOO's Hwa Sa caused laughter by confessing that the show's host Highlight's Yoseob is one of her favorite memes!



On this day, the members had a chance to go around and share some of the ""TMI"" with viewers and with host Yoseob. Hwa Sa then said, ""This is very much a 'TMI'. There this meme that is one of my favorite memes of all time, and it is of [Yoseob] sunbaenim.""



Yoseob immediately seemed to know what she was talking about, as he commented, ""Is it by chance, the 'Emotional Boss' one?""



Hwa Sa nodded excitedly as she continued, ""I'm so glad to meet you in person after meeting you through the meme for such a long time.""



Fellow member Moon Byul also chimed in with, ""I've always wanted to ask, why did you make that expression?""



Yoseob answered, ""Actually, I had no idea that I made such an 'emotional' expression until several years afterward. I must have just been suuuper ticked that day."" The MAMAMOO members also agreed, ""That [program's] recording is extremely tiring."" 



갑자기 양요섭님 예민보스 짤 제일 좋아한다고ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ역으로 어쩌다 그런 표정이 나온건지 인터뷰해버리는ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ상황이 너무 웃겨🦁항상 짤로만 찾아뵙다가...이게 너무 귀엽고 웃겨 pic.twitter.com/VpbjKx7o5q





Furthermore, MAMAMOO's Whee In shared as her ""TMI"" of the day, ""When I was in middle school, I was a really big fan of [Yoseob] sunbaenim. So I'm so glad I had a chance to meet you today."" 



휘인님 tmi 💛💛👏 pic.twitter.com/EycURy1gVW





Curious to know what this infamous ""Emotional Boss"" meme is? See if for yourself below!

","7","90%"
"613","MAMAMOO's label updates fans on ongoing legal action against malicious commenters"," germainej","MAMAMOO's label RBW Entertainment gave an update to fans on the ongoing legal action against the group's malicious commenters.On November 16, the label stated, ""We appointed OhKims Law & Company in order to file complaints against malicious comments, including the spread of false information, online slander, and defamation. The punishment for some cases has come to an end with fines. In cases of systematic, persistent, and malicious commenters, we're continuing to take an unprecedented response at the civil law level.""The label further stated they were continuing with the highest level of legal action, and they're collecting systematic evidence with the help of fans.Stay tuned for updates on RBW Entertainment and MAMAMOO.","8","89%"
"614","MAMAMOO's Hwa Sa says she makes a lot of choreography mistakes"," germainej","MAMAMOO's Hwa Sa says she makes a lot of choreography mistakes.On the November 13th episode of 'Hidden Singer 6', Hwa Sa visited contestant Lee Soo Bin, who was competing on the episode dedicated to Jang Bum Joon. Lee Soo Bin expressed, ""I'm usually a passive person, so I'm worried about the stage,"" and Hwa Sa gave her advice, saying, ""The only way to gain confidence is practice.""The MAMAMOO member further revealed, ""I also make a lot of choreography mistakes, but I always feel as if I'm making it up with my voice.""In other news, MAMAMOO recently made a comeback with ""AYA"".



","13","67%"
"615","Taeyeon transforms into a dreamy fairy in latest Instagram update"," veryuyu","On November 28, Taeyeon showed off her dreamy make-up, with “butterflies” perched on her hair in her latest Instagram update.



The Instagram update is posted with the caption: “Butterfly 🦋 #Amazing_Saturday.” 



In the photo, Taeyeon is seen in a floral dress with eye make up of green and blue hues, giving her a dreamy vibe. Complimented with butterfly-shaped ornaments attached on her hair, she looks just like a fairy in a forest.



A post shared by TaeYeon (@taeyeon_ss)

Meanwhile, Taeyeon will be appearing on TvN’s ‘Amazing Saturday - DoReMi Market’.","12","74%"
"616","2PM & Stray Kids to join JYP edition of 'Bubble' messaging app"," germainej","2PM and Stray Kids are joining the JYP Entertainment edition of the 'Bubble' messaging app.'Bubble' is a paid messaging app started by SM Entertainment as a way for fans to message label artists, who can send fans exclusive content. FNC Entertainment and Jellyfish Entertainment artists previously joined the platform, and JYPE are now hopping on as well.The first artists from JYPE to be featured on 'Bubble' are 2PM and Stray Kids. 'Bubble for JYPnation' is set to launch on November 25 KST.Are you excited for 'Bubble for JYPnation'?

[bubble]2020. 11. 25 18:00 (KST) OPEN!iOS ▶ https://t.co/f6xwBUtmzCAndroid ▶ https://t.co/RGnUwg6shW*2PM 버블 이용권은 2020. 11. 30 18:00 (KST)에 오픈됩니다.#2PM#JUN_K #NICHKHUN #WOOYOUNG#bubble #버블



[bubble]2020.11.25 18:00 (KST) OPEN!iOS ▶ https://t.co/Zlqeq9BCJHAndroid ▶ https://t.co/LZYQmMF3M4*Stray Kids 버블 이용권은 2020.11.30 18:00 (KST)에 오픈됩니다.#StrayKids #스트레이키즈#bubble #버블","9","84%"
"617","All 9 members of BAE173 test negative for COVID19"," beansss","

On December 1, PocketDol Studio confirmed with various media outlets that all 9 members of the rookie boy group BAE173 have tested negative for COVID19.



As previously reported, the entire cast and lineup of MBC's 'Show! Music Core' and SBS's 'Inkigayo' from this past weekend will be undergoing COVID19 testing, after it was revealed that UP10TION member Bitto has tested positive for the virus. 



Bitto was notified of his close contact with a COVID19 carrier back on November 29 some time after attending his 'Inkigayo' schedule. He then tested positive shortly afterward on November 30. 



Meanwhile, BAE173 will resume their schedules as planned starting today (December 1).","7","96%"
"618","BTS, BLACKPINK, and Jang Bum Joon top Instiz chart for the second week of November 2020"," GhostWriter","The Instiz chart combines the overwhelming variety of charts that South Korea uses to rank music sales, and it's also what fans use to determine whether their favorite artist has achieved an ""All-Kill.""

Check out the chart rankings for the second week of November (November 2 - November 8) below!





Instiz Chart Singles Ranking

1. BTS - ""Dynamite"" - 23,507 Points



2. BLACKPINK - ""Lovesick Girls"" - 16,400 Points





3. Jang Bum Joon - ""Can't Sleep"" - 14,980 Points





4. Lim Chang Jung - ""Love Should Be Not Harsh On You"" - 12,186 Points



5. Refund Sisters (Uhm Jung Hwa, Lee Hyori, Jessi, Hwa Sa) - ""Don't Touch Me"" - 9,636 Points



6. Sandeul - ""Slightly Tipsy"" - 7,622 Points



7. jawsh685 x BTS - ""Savage Love (Laxed - Siren Beat BTS Remix)"" - 7,251 Points



8. TWICE - ""I CAN'T STOP ME"" - 7,034 Points





9. MAMAMOO - ""Dingga"" - 6,848 Points



10. Kyuhyun - ""The Moment My Heart"" - 5,089 Points



Source: Instiz iCHART","11","77%"
"619","Actress Lee Da Hee will donate all of her fees from narrating 'No Trespassing if Under 60'"," haydn-an","

It has been reported that actress Lee Da Hee will donate the entire fees from narrating the EBS documentary 'No Trespassing If Under 60'.She will be participating in the ""Milk Delivery Service of Love"" campaign to prevent lonely deaths of female senior citizens at the National Angel Food Service Center.





Lee Da Hee stated, ""I really want to support the women who used to be someone's daughter, someone's mother, and someone's lover who are now living together so they are not alone. I hope many people receive hope from the documentary and understand that they don't need to be alone when they grow old.""Meanwhile, the EBS documentary 'No Tresspassing If Under 60' is a docuseries showing the lives of three women in their 60s without family living together in a sharehouse.","7","93%"
"620","BoA takes a trip down memory lane with her documentary '202020 BoA'"," olmal","OG K-Pop Queen BoA took a trip down memory lane with her documentary '202020 BoA'. 



On November 14th, BoA took to her Instagram to promote her documentary '202020 BoA'. The documentary was released on November 12th. In the post, BoA is gorgeous in white, which turns out to be her favorite outfit for performing ""My Name"". The song was first released 16 years ago, back in 2004. 



The documentary features interviews with those who have worked with BoA for a long time, including the founder Lee Soo Man, producer Yoo Young Jin and Kenjie. In related news, BoA will be returning on December 1st with her 10th full-length album 'BETTER' to mark her 20th anniversary. 



Check out her Instagram post and documentary below. Are you feeling nostalgic or is this something new for you? 

A post shared by BoA (@boakwon)","8","91%"
"621","Stray Kids's Hyunjin & Felix are chic 'Dior' boys in latest issue of 'Dazed'"," beansss","

Stray Kids's Hyunjin and Felix have turned into chic and stylish 'Dior' boys for the December edition of 'Dazed' magazine!



For this pictorial, Hyunjin and Felix modeled the 'Dior B27' sneakers, portraying a mixture of boyish and mature moods. In anoter set of dramatic close-ups, Hyunjin and Felix also showed off their distinct, handsome features.



In their interview, Felix talked about the difficulty of finding time to practice with all of the Stray Kids members present, due to their busy schedules, as he said, ""We need to all work together to plan our formations and performances, but there are times when we find that we don't have as much time to all meet. Even so, I think we try to be efficient and have fun in that short time."" 



Check out the members' latest 'Dazed' preview cuts above and below!","8","87%"
"622","Baek Ye Rin announces comeback with 2nd full-length album 'tellusboutyourself'"," KayRosa","

Baek Ye Rin has announced her official comeback.



On November 23, the solo singer took to her Instagram and dropped several teaser images for her upcoming album. The new album will be the singer's 2nd full-length album titled 'tellusboutyourself'. In these cryptic teaser images, a series of dots are coded inside a table without any hint or trace of what they might mean.









Seeing these teaser images, netizens are sharing their excitement for Baek Ye Rin's return. Stay tuned for the drop of 'tellusboutyourself' on December 10 KST!



A post shared by @yerin_the_genuine



 ","8","93%"
"623","Lovelyz's Mijoo unfolds her hidden charms in a pictorial with 'Esquire' magazine"," haydn-an","

Esquire Magazine has released its latest pictorial with Lovelyz member Mijoo!



On November 20, the men's fashion and lifestyle magazine unveiled the pictorial of the idol member on their official social media.



In the pictorial, Mijoo showcased some of her never-before-seen charms, catching attention for her natural beauty.



During the interview with the magazine, Mijoo stated there were so many aspects of her that she did not show to the public. She told the magazine that she plans to show off her unique charms slowly. She stated, ""If I show off my charms too quickly, fans might get bored so I plan to slowly unveil them one by one.""



Mijoo has been gaining popularity in variety shows but also captures the hearts of her fans through the charisma on stage. Mijoo reveals that on variety shows she lets loose but shows a more serious side on stage.



Mijoo continued with the interview stating that she is thankful for the smallest things these days. She stated, ""I realized that if the moment passes, it becomes the past. So rather than my memories being filled with unhappiness, I would want to fill it with good things. So I try to be thankful for the small things in my everyday life.""



When asked why she doesn't have a social media account Mijoo honestly replied, ""I'm afraid I would get sentimental in the middle of the night and post selfies of me crying.""

","9","86%"
"624","Kim Chung Ha and her dog Bambi pose in Korean traditional wear for 'Vogue'"," jennywill","Kim Chung Ha and her adorable dog Bambi posed for 'Vogue Korea'.



The singer, who recently came back with her collaboration single 'Dream of You', posed in variously styled Korean traditional wear. The singer showed that she could pull off traditional wear just as well as she can pull off her usual chic style, with the added bonus of her adorable Bambi.



Check out the photos below.

","8","89%"
"625","IZ*ONE members are breathtaking princesses in next 'One-reeler / Act IV' concept photos"," beansss","

IZ*ONE have transformed into elegant modern-day princesses in their brand new 'One-reeler / Act IV' concept images!



For this set of individual concept photos, themed 'Stay Bold', each of the girls posed against luxurious velvet cloth backdrops, exuding a sense of royalty from head to toe. The members also rock elegant, non-traditional tiaras, giving off the vibe of 12 princesses with the ability to take away the breaths of all onlookers. 



IZ*ONE full comeback with their 4th mini album 'One-reeler / Act IV' is set for December 7 at 6 PM KST!

","10","80%"
"626","Dynamic Duo's Gaeko updates fans on condition of arm after emergency surgery"," germainej","Dynamic Duo's Gaeko updated fans on the condition of his arm after his emergency surgery this past summer.On December 4, Gaeko shared the images below on his Instagram story along with the message, ""Still, a lot of my bones have fused together."" The x-ray image below reveals the extent of the Dynamic Duo member's injury as well as the metal in his body. This past July, the hip hop artist suffered a fracture in his right arm and underwent emergency surgery. He reassured fans, stating, ""I unexpectedly have a robot arm now. Thanks to good medical staff, the surgery went well.""Stay tuned for updates on Dynamic Duo and Gaeko.

","3","100%"
"627","Yoon Do Hyun apologizes for his Daegu concert after an audience member tests positive for COVID19, but netizens are still calling him thoughtless"," haydn-an","Singer Yoon Do Hyun apologized after an audience member tested positive for COVID19 after attending his Daegu concert. On November 23rd, the singer posted a long message on his Instagram, stating, ""First, I would like to apologize to the residents in Daegu for causing concerns. It was reported that a fan who attended my concert on the 15th tested positive five days after on November 20th. He showed no symptoms then because the virus was in the dormant period.""Yoon Do Hyun clarified that not everyone who attended the concert needed testing and only those who were seated in close vicinity of the individual needed testing. He stated, ""After checking the surveillance cameras, the epidemiological investigation team decided that not all audience members need to get testing. Only the ten people sitting around the individual would need testing. Currently, all those who received the testing have tested negative. I apologize for causing the inconvenience.""Earlier, Yoon Do Hyun had to cancel his YB concert that was scheduled for February because of the rise of the COVID19 pandemic.He stated that the concert was held with social distancing in mind and only sold 50 % of the actual seating tickets. He stated, ""Music has the power to heal people. Music can cure the pain in people's hearts. I believed that the concert hall would be safe since we have kept the quarantine guidelines. Also, I prepared this concert because many people are having difficulties since they cannot continue with their daily lives - We can't go out drinking with friends, or travel. We planned this performance with good intention.""He concluded his message by stating, ""We hope that the fan who tested positive and is going through treatment right now can get better soon.""Meanwhile, Yoon Do Hyun's agency made an official statement regarding the false claims stating that 500 of the concert attendees need testing. After the false information spread, there have been indiscriminate malicious comments against the singer. Since then, Yoon Do Hyun's agency stated they are preparing to take legal against the malicious commenters.However, netizens are still unhappy with Yoon Do Hyun's actions as they state he is thoughtless for holding a concert at a time like this, regardless of keeping quarantine guidelines. Netizens have commented, ""It's really careless to have concerts at a time like this. They should cancel all concerts"", ""The people who plan the concert and those who attend the concert are all thoughtless."", and ""We can see they followed the strict quarantine measures since everyone else except that one person tested negative.""","10","80%"
"628","Natty announces official fanclub name"," jennywill","Natty announced her official fanclub name.



She had her 200-day 'V Live' session on the 22nd, where she revealed that her fanclub would be named 'TwiNny'. 'TwiNny' is actually the name given to the teddy bear in her 'Teddy Bear' promotions, and she had actually hinted that it would be the name of her fanclub. She explained that 'TwiNny' was someone who was her best friend, and someone who she got strength from.



Do you like the name?","9","85%"
"629","'Reply 1988' actor Choi Sung Won's label makes statement on leukemia treatment"," germainej","'Reply 1988' actor Choi Sung Won's label has made a statement on his leukemia treatment.As previously reported, Choi Sung Won recovered from acute leukemia in February of 2017 after being diagnosed in May of 2016, and the cancer has returned after almost 4 years of remission. On November 20, his label stated, ""Choi Sung Won was not in a situation where he was completely cured. He participated in dramas and musicals because his health really improved. He is currently undergoing treatment, and though his condition isn't perfect, it's not anything serious.""This past June, the actor starred in the musical 'Chami', but he later dropped out of the show due to health issues. His agency stated at the time, ""He withdrew from 'Chami' because he couldn't participate until the end. He's not in a serious condition, but he isn't healthy enough to be acting.""Viewers of 'Reply 1988' know the actor for playing the role of Sung Noeul in the beloved drama series. He's also starred in hit dramas like 'Big Issue' and 'Psychopath Diary'. Stay tuned for updates on the actor. ","6","98%"
"630","BTS wins #1 on this week's 'Inkigayo' + Performances from NCT, CNBLUE, Stray Kids, and more!"," danisurst","SBS's 'Inkigayo' aired its latest episode with energetic and fun performances from your favorite idols!



On today's episode, Lucy made their comeback with ""Snooze,"" CNBLUE returned with ""Then, Now and Forever,"" UP10TION came back with ""Destiny,"" NCT returned with both ""90's Love"" and ""Work It,"" and Woo!ah! came back with ""Bad Girl."" 



As for the winner, the nominees were Lim Chang Jung's ""Love Should Not Be Harsh on You,"" Jang Bum Joon's ""Can't Sleep,"" and BTS's ""Life Goes On."" In the end, BTS won with the single ""Life Goes On.""



Meanwhile, other artists who performed included Natty, Norazo, DRIPPIN, BAE173, Bling Bling, BTOB 4U, STAYC, Stray Kids, AKMU, aespa, WOODZ (Cho Seung Youn), COOING, and TREASURE.

Check out select full cams of this week's performances below!

COMEBACK: NCT

==

COMEBACK: CNBLUE

==

Stray Kids

==

aespa



==

TREASURE

","12","70%"
"631","Jung Hyung Don updates his fans for the first time since his hiatus"," olmal","Jung Hyung Don updated his fans for the first time since his hiatus announcement back on November 5th. 



On November 18th, Jung Hyung Don's wife Han Yoo Ra posted pictures of Jung Hyung Don and his twin daughters on her personal Instagram with a simple caption ""beautiful moment"". In the pictures and the video, the Jung's family is seen spending quality time in a scenic silver grass field.  



Fans reacted with positive and encouraging comments, including ""This looks like a TV commercial"", ""I'm so happy to see him doing well"", ""I teared up a little ngl"".



Check out the pictures below. What do you think? 

A post shared by 한유라 (@donyfive_eul720)","7","93%"
